Description,2017,2018,2019,2020,2021,2022,state,county
Chain-type quantity indexes for real GDP ,100.000,111.723,105.962,105.288,107.914,109.787,Kansas,Lyon
Current-dollar GDP (thousands of current dollars) ,1355632,1534648,1493166,1535390,1634434,1742490,Kansas,Lyon
Real GDP (thousands of chained 2017 dollars) ,1989143,2158897,2159572,1961614,1890166,1892051,Kansas,McPherson
Chain-type quantity indexes for real GDP ,100.000,108.534,108.568,98.616,95.024,95.119,Kansas,McPherson
Current-dollar GDP (thousands of current dollars) ,1989143,2360517,2272420,1947614,2080187,2399222,Kansas,McPherson
Real GDP (thousands of chained 2017 dollars) ,351552,371935,400387,393333,387260,329419,Kansas,Marion
Chain-type quantity indexes for real GDP ,100.000,105.798,113.891,111.885,110.157,93.704,Kansas,Marion
Current-dollar GDP (thousands of current dollars) ,351552,377350,413299,412335,442706,409640,Kansas,Marion
Real GDP (thousands of chained 2017 dollars) ,543913,540897,542691,542386,546462,629467,Kansas,Marshall
Chain-type quantity indexes for real GDP ,100.000,99.445,99.775,99.719,100.469,115.729,Kansas,Marshall
Current-dollar GDP (thousands of current dollars) ,543913,548590,566064,578169,602305,760948,Kansas,Marshall
Real GDP (thousands of chained 2017 dollars) ,218424,240549,236243,225973,258919,248353,Kansas,Meade
Chain-type quantity indexes for real GDP ,100.000,110.130,108.158,103.456,118.540,113.702,Kansas,Meade
Current-dollar GDP (thousands of current dollars) ,218424,241878,241505,233122,309176,348989,Kansas,Meade
Real GDP (thousands of chained 2017 dollars) ,910822,950878,970835,988715,1020360,1036518,Kansas,Miami
Chain-type quantity indexes for real GDP ,100.000,104.398,106.589,108.552,112.026,113.800,Kansas,Miami
Current-dollar GDP (thousands of current dollars) ,910822,972723,1019966,1067428,1151576,1263814,Kansas,Miami
Real GDP (thousands of chained 2017 dollars) ,382662,425255,436690,489927,505485,465766,Kansas,Mitchell
Chain-type quantity indexes for real GDP ,100.000,111.131,114.119,128.031,132.097,121.717,Kansas,Mitchell
Current-dollar GDP (thousands of current dollars) ,382662,433429,457087,522619,576019,581726,Kansas,Mitchell
Real GDP (thousands of chained 2017 dollars) ,1490898,1616568,1757229,1715257,1866698,1679946,Kansas,Montgomery
Chain-type quantity indexes for real GDP ,100.000,108.429,117.864,115.049,125.206,112.680,Kansas,Montgomery
Current-dollar GDP (thousands of current dollars) ,1490898,1774002,1824770,1575300,2163331,2722669,Kansas,Montgomery
Real GDP (thousands of chained 2017 dollars) ,175046,205312,182670,192121,188441,180290,Kansas,Morris
Chain-type quantity indexes for real GDP ,100.000,117.290,104.356,109.755,107.653,102.996,Kansas,Morris
Current-dollar GDP (thousands of current dollars) ,175046,206319,185898,198830,213170,225293,Kansas,Morris
Real GDP (thousands of chained 2017 dollars) ,141339,140064,116506,128276,139363,88545,Kansas,Morton
Chain-type quantity indexes for real GDP ,100.000,99.098,82.430,90.758,98.601,62.647,Kansas,Morton
Current-dollar GDP (thousands of current dollars) ,141339,142780,117219,126382,166944,125606,Kansas,Morton
Real GDP (thousands of chained 2017 dollars) ,503754,506791,423689,468692,507936,545268,Kansas,Nemaha
Chain-type quantity indexes for real GDP ,100.000,100.603,84.106,93.040,100.830,108.241,Kansas,Nemaha
Current-dollar GDP (thousands of current dollars) ,503754,513794,440918,501299,583452,697197,Kansas,Nemaha
Real GDP (thousands of chained 2017 dollars) ,546388,552207,600137,562480,587208,554631,Kansas,Neosho
Chain-type quantity indexes for real GDP ,100.000,101.065,109.837,102.945,107.471,101.509,Kansas,Neosho
Current-dollar GDP (thousands of current dollars) ,546388,564856,626706,602565,670052,686089,Kansas,Neosho
Real GDP (thousands of chained 2017 dollars) ,159432,171456,173657,179920,184948,155108,Kansas,Ness
Chain-type quantity indexes for real GDP ,100.000,107.541,108.922,112.851,116.004,97.288,Kansas,Ness
Current-dollar GDP (thousands of current dollars) ,159432,177285,178594,180947,214225,207429,Kansas,Ness
Real GDP (thousands of chained 2017 dollars) ,213657,216894,222914,245745,253938,277846,Kansas,Norton
Chain-type quantity indexes for real GDP ,100.000,101.515,104.333,115.019,118.853,130.043,Kansas,Norton
Current-dollar GDP (thousands of current dollars) ,213657,220703,230618,258672,296690,371345,Kansas,Norton
Real GDP (thousands of chained 2017 dollars) ,287727,314987,302710,306465,319854,267672,Kansas,Osage
Chain-type quantity indexes for real GDP ,100.000,109.474,105.207,106.512,111.166,93.030,Kansas,Osage
Current-dollar GDP (thousands of current dollars) ,287727,321705,316803,329622,371176,339138,Kansas,Osage
Real GDP (thousands of chained 2017 dollars) ,167159,175200,170852,171140,168711,146770,Kansas,Osborne
Chain-type quantity indexes for real GDP ,100.000,104.811,102.209,102.382,100.929,87.803,Kansas,Osborne
Current-dollar GDP (thousands of current dollars) ,167159,179370,180321,183628,196416,189369,Kansas,Osborne
Real GDP (thousands of chained 2017 dollars) ,117621,118687,113939,120563,132786,105775,Kansas,Ottawa
Chain-type quantity indexes for real GDP ,100.000,100.906,96.870,102.502,112.894,89.929,Kansas,Ottawa
Current-dollar GDP (thousands of current dollars) ,117621,121527,120205,130538,156573,139414,Kansas,Ottawa
Real GDP (thousands of chained 2017 dollars) ,286726,278211,273960,267214,274486,207240,Kansas,Pawnee
Chain-type quantity indexes for real GDP ,100.000,97.030,95.548,93.195,95.731,72.278,Kansas,Pawnee
Current-dollar GDP (thousands of current dollars) ,286726,281872,281642,281766,321395,266872,Kansas,Pawnee
Real GDP (thousands of chained 2017 dollars) ,296513,328094,341749,327181,371929,314766,Kansas,Phillips
Chain-type quantity indexes for real GDP ,100.000,110.651,115.256,110.343,125.434,106.156,Kansas,Phillips
Current-dollar GDP (thousands of current dollars) ,296513,374202,361633,302023,444189,522042,Kansas,Phillips
Real GDP (thousands of chained 2017 dollars) ,1442807,1433962,1229566,1229422,1322022,1295230,Kansas,Pottawatomie
Chain-type quantity indexes for real GDP ,100.000,99.387,85.220,85.210,91.628,89.772,Kansas,Pottawatomie
Current-dollar GDP (thousands of current dollars) ,1442807,1469802,1297724,1316514,1517413,1646189,Kansas,Pottawatomie
Real GDP (thousands of chained 2017 dollars) ,528894,546970,579504,560980,584511,539015,Kansas,Pratt
Chain-type quantity indexes for real GDP ,100.000,103.418,109.569,106.067,110.516,101.914,Kansas,Pratt
Current-dollar GDP (thousands of current dollars) ,528894,556045,599746,584727,675603,694285,Kansas,Pratt
Real GDP (thousands of chained 2017 dollars) ,109819,102912,105706,138239,163112,182086,Kansas,Rawlins
Chain-type quantity indexes for real GDP ,100.000,93.711,96.255,125.879,148.528,165.805,Kansas,Rawlins
Current-dollar GDP (thousands of current dollars) ,109819,105759,110413,146337,198407,262587,Kansas,Rawlins
Real GDP (thousands of chained 2017 dollars) ,2468183,2514293,2572505,2570711,2615806,2611622,Kansas,Reno
Chain-type quantity indexes for real GDP ,100.000,101.868,104.227,104.154,105.981,105.812,Kansas,Reno
Current-dollar GDP (thousands of current dollars) ,2468183,2562480,2686135,2750579,2927675,3129805,Kansas,Reno
Real GDP (thousands of chained 2017 dollars) ,202423,200325,206175,198221,215169,142944,Kansas,Republic
Chain-type quantity indexes for real GDP ,100.000,98.964,101.854,97.924,106.297,70.616,Kansas,Republic
Current-dollar GDP (thousands of current dollars) ,202423,202083,211747,206320,255482,192037,Kansas,Republic
Real GDP (thousands of chained 2017 dollars) ,479834,491408,566139,504446,559710,573778,Kansas,Rice
Chain-type quantity indexes for real GDP ,100.000,102.412,117.986,105.129,116.647,119.579,Kansas,Rice
Current-dollar GDP (thousands of current dollars) ,479834,496728,581121,526948,640866,724799,Kansas,Rice
Real GDP (thousands of chained 2017 dollars) ,2784460,2724412,2743635,2695463,2798593,2900047,Kansas,Riley
Chain-type quantity indexes for real GDP ,100.000,97.843,98.534,96.804,100.508,104.151,Kansas,Riley
Current-dollar GDP (thousands of current dollars) ,2784460,2788162,2874181,2921320,3147054,3438458,Kansas,Riley
Real GDP (thousands of chained 2017 dollars) ,209278,187726,178271,185573,190753,192187,Kansas,Rooks
Chain-type quantity indexes for real GDP ,100.000,89.702,85.184,88.673,91.148,91.833,Kansas,Rooks
Current-dollar GDP (thousands of current dollars) ,209278,194876,185078,191066,219775,255101,Kansas,Rooks
Real GDP (thousands of chained 2017 dollars) ,121373,140852,147175,146418,155513,126374,Kansas,Rush
Chain-type quantity indexes for real GDP ,100.000,116.049,121.259,120.635,128.129,104.121,Kansas,Rush
Current-dollar GDP (thousands of current dollars) ,121373,143379,151420,151484,180056,165321,Kansas,Rush
Real GDP (thousands of chained 2017 dollars) ,304500,257398,253494,266926,284509,264048,Kansas,Russell
Chain-type quantity indexes for real GDP ,100.000,84.531,83.249,87.660,93.435,86.715,Kansas,Russell
Current-dollar GDP (thousands of current dollars) ,304500,272921,267555,277256,331099,346393,Kansas,Russell
Real GDP (thousands of chained 2017 dollars) ,2918547,2930486,2887076,2722152,2902390,2976053,Kansas,Saline
Chain-type quantity indexes for real GDP ,100.000,100.409,98.922,93.271,99.446,101.970,Kansas,Saline
Current-dollar GDP (thousands of current dollars) ,2918547,2985870,3020504,2929040,3236389,3544137,Kansas,Saline
Real GDP (thousands of chained 2017 dollars) ,421451,364205,264524,306020,314018,315023,Kansas,Scott
Chain-type quantity indexes for real GDP ,100.000,86.417,62.765,72.611,74.509,74.747,Kansas,Scott
Current-dollar GDP (thousands of current dollars) ,421451,361525,264542,308670,366127,428801,Kansas,Scott
Real GDP (thousands of chained 2017 dollars) ,31596869,31406937,31931117,30679155,31391701,32861513,Kansas,Sedgwick
Chain-type quantity indexes for real GDP ,100.000,99.399,101.058,97.096,99.351,104.002,Kansas,Sedgwick
Current-dollar GDP (thousands of current dollars) ,31596869,31982568,33107207,32325966,34222133,38031616,Kansas,Sedgwick
Real GDP (thousands of chained 2017 dollars) ,1264814,1272470,1159057,1222675,1315438,1283372,Kansas,Seward
Chain-type quantity indexes for real GDP ,100.000,100.605,91.638,96.668,104.002,101.467,Kansas,Seward
Current-dollar GDP (thousands of current dollars) ,1264814,1283990,1194766,1298593,1477630,1522764,Kansas,Seward
Real GDP (thousands of chained 2017 dollars) ,10306991,10583689,10397869,10561918,10886577,11120208,Kansas,Shawnee
Chain-type quantity indexes for real GDP ,100.000,102.685,100.882,102.473,105.623,107.890,Kansas,Shawnee
Current-dollar GDP (thousands of current dollars) ,10306991,10786503,10826364,11308878,12013504,12921385,Kansas,Shawnee
Real GDP (thousands of chained 2017 dollars) ,130203,103056,97848,137264,141607,98424,Kansas,Sheridan
Chain-type quantity indexes for real GDP ,100.000,79.150,75.150,105.423,108.758,75.593,Kansas,Sheridan
Current-dollar GDP (thousands of current dollars) ,130203,105763,102878,146231,173394,137246,Kansas,Sheridan
Real GDP (thousands of chained 2017 dollars) ,276863,287420,272751,295260,318041,312125,Kansas,Sherman
Chain-type quantity indexes for real GDP ,100.000,103.813,98.515,106.645,114.873,112.736,Kansas,Sherman
Current-dollar GDP (thousands of current dollars) ,276863,292555,284812,313222,378894,427826,Kansas,Sherman
Real GDP (thousands of chained 2017 dollars) ,124593,150260,156172,172622,192754,125507,Kansas,Smith
Chain-type quantity indexes for real GDP ,100.000,120.601,125.346,138.550,154.708,100.734,Kansas,Smith
Current-dollar GDP (thousands of current dollars) ,124593,152418,161300,179955,235416,176391,Kansas,Smith
Real GDP (thousands of chained 2017 dollars) ,155323,167150,163678,172276,172778,121139,Kansas,Stafford
Chain-type quantity indexes for real GDP ,100.000,107.614,105.379,110.915,111.238,77.991,Kansas,Stafford
Current-dollar GDP (thousands of current dollars) ,155323,169574,164338,170610,207774,172860,Kansas,Stafford
Real GDP (thousands of chained 2017 dollars) ,174794,165335,191215,198148,203685,202953,Kansas,Stanton
Chain-type quantity indexes for real GDP ,100.000,94.588,109.394,113.361,116.529,116.110,Kansas,Stanton
Current-dollar GDP (thousands of current dollars) ,174794,167105,194142,199310,246982,299431,Kansas,Stanton
Real GDP (thousands of chained 2017 dollars) ,338971,294758,282520,307229,344627,278293,Kansas,Stevens
Chain-type quantity indexes for real GDP ,100.000,86.957,83.346,90.636,101.669,82.099,Kansas,Stevens
Current-dollar GDP (thousands of current dollars) ,338971,297577,283100,297666,413321,397331,Kansas,Stevens
Real GDP (thousands of chained 2017 dollars) ,659764,707713,730887,695651,718850,672118,Kansas,Sumner
Chain-type quantity indexes for real GDP ,100.000,107.268,110.780,105.439,108.956,101.872,Kansas,Sumner
Current-dollar GDP (thousands of current dollars) ,659764,724984,766361,745160,826008,845988,Kansas,Sumner
Real GDP (thousands of chained 2017 dollars) ,474306,501070,501655,561862,595867,602163,Kansas,Thomas
Chain-type quantity indexes for real GDP ,100.000,105.643,105.766,118.460,125.629,126.957,Kansas,Thomas
Current-dollar GDP (thousands of current dollars) ,474306,509380,521085,590084,689027,771838,Kansas,Thomas
Real GDP (thousands of chained 2017 dollars) ,157198,168461,157518,158354,162687,145488,Kansas,Trego
Chain-type quantity indexes for real GDP ,100.000,107.165,100.203,100.735,103.492,92.551,Kansas,Trego
Current-dollar GDP (thousands of current dollars) ,157198,171877,161764,162150,187390,190693,Kansas,Trego
Real GDP (thousands of chained 2017 dollars) ,136836,154331,146450,142864,147926,140492,Kansas,Wabaunsee
Chain-type quantity indexes for real GDP ,100.000,112.785,107.026,104.405,108.105,102.672,Kansas,Wabaunsee
Current-dollar GDP (thousands of current dollars) ,136836,157576,153237,153776,170030,175219,Kansas,Wabaunsee
Real GDP (thousands of chained 2017 dollars) ,75963,87540,88322,95342,94043,81758,Kansas,Wallace
Chain-type quantity indexes for real GDP ,100.000,115.240,116.269,125.510,123.800,107.629,Kansas,Wallace
Current-dollar GDP (thousands of current dollars) ,75963,89893,92558,99841,117575,123032,Kansas,Wallace
Real GDP (thousands of chained 2017 dollars) ,201302,218092,209654,228649,228803,181214,Kansas,Washington
Chain-type quantity indexes for real GDP ,100.000,108.340,104.149,113.585,113.661,90.021,Kansas,Washington
Current-dollar GDP (thousands of current dollars) ,201302,221136,217725,241811,269919,240637,Kansas,Washington
Real GDP (thousands of chained 2017 dollars) ,279819,248549,206794,193513,196454,200653,Kansas,Wichita
Chain-type quantity indexes for real GDP ,100.000,88.825,73.902,69.156,70.207,71.708,Kansas,Wichita
Current-dollar GDP (thousands of current dollars) ,279819,244130,203664,189619,236910,297449,Kansas,Wichita
Real GDP (thousands of chained 2017 dollars) ,337743,333274,322999,300955,318525,300004,Kansas,Wilson
Chain-type quantity indexes for real GDP ,100.000,98.677,95.635,89.108,94.310,88.826,Kansas,Wilson
Current-dollar GDP (thousands of current dollars) ,337743,341194,336627,319879,364214,379012,Kansas,Wilson
Real GDP (thousands of chained 2017 dollars) ,75144,73427,74978,74852,76019,71600,Kansas,Woodson
Chain-type quantity indexes for real GDP ,100.000,97.715,99.779,99.612,101.164,95.283,Kansas,Woodson
Current-dollar GDP (thousands of current dollars) ,75144,76652,78254,77065,90559,98584,Kansas,Woodson
Real GDP (thousands of chained 2017 dollars) ,10936992,11442438,11528112,11304886,11307547,11381425,Kansas,Wyandotte
Chain-type quantity indexes for real GDP ,100.000,104.621,105.405,103.364,103.388,104.064,Kansas,Wyandotte
Current-dollar GDP (thousands of current dollars) ,10936992,11693870,12019479,11989981,12502872,13594085,Kansas,Wyandotte
Real GDP (thousands of chained 2017 dollars) ,357657,369778,376520,378892,383758,387875,Kentucky,Adair
Chain-type quantity indexes for real GDP ,100.000,103.389,105.274,105.937,107.298,108.449,Kentucky,Adair
Current-dollar GDP (thousands of current dollars) ,357657,377678,393713,408728,437859,480361,Kentucky,Adair
Real GDP (thousands of chained 2017 dollars) ,482434,490463,476496,439591,462813,501379,Kentucky,Allen
Chain-type quantity indexes for real GDP ,100.000,101.664,98.769,91.120,95.933,103.927,Kentucky,Allen
Current-dollar GDP (thousands of current dollars) ,482434,494421,491141,466779,501929,576718,Kentucky,Allen
Real GDP (thousands of chained 2017 dollars) ,569020,557095,561160,545140,565617,592452,Kentucky,Anderson
Chain-type quantity indexes for real GDP ,100.000,97.904,98.619,95.803,99.402,104.118,Kentucky,Anderson
Current-dollar GDP (thousands of current dollars) ,569020,569278,584945,580799,631866,690219,Kentucky,Anderson
